id,code,name,user_type_id/id,parent_id/id,chart_template_id:id,reconcile
63200_gas_oil_exp,632000,"Gasoline, Fuel and Oil",account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
63400_interest_exp,634000,Interest Expense,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
64200_marketing_exp,642000,Marketing Expense,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
64300_meals_entertain,643000,Meals and Entertainment,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
64900_office_supp,649000,Office Supplies,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
66000_payroll_exp,660000,Payroll Expenses,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
66500_postage_deliver,665000,Postage and Delivery,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
66660_printing_reporduction,666000,Printing and Reproduction,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
66700_prof_fees,667000,Professional Fees,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
67100_rent_exp,671000,Rent Expense,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
67200_repair_mainten,672000,Repairs and Maintenance,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
68000_tax_property,680000,Taxes - Property,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
68100_telephone_exp,681000,Telephone Expense,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
68400_transport_travel,684000,Travel Expense,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
68600_utilities,686000,Utilities,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
base_miscexpense,690000,Miscellaneous Expense,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
69310_general_liab_insurance,693100,General Liability Insurance,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
69320_health_insurance,693200,Health Insurance,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
69330_life_insurance,693300,Life and Disability Insurance,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
69350_prof_insurance,693500,Professional Liability,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
69360_worker_compons,693600,Worker's Compensation,account.data_account_type_expenses,6_expenses,account_egypt_coa_general,False
7_other_income,7_____,Other Income,account_parent.data_account_type_view,,account_egypt_coa_general,False
700000_finance_income,707000,Finance Charge Income,account.data_account_type_other_income,7_other_income,account_egypt_coa_general,False
701000_insurance_income,701000,Insurance Proceeds Received,account.data_account_type_other_income,7_other_income,account_egypt_coa_general,False
702000_interest_income,702000,Interest Income,account.data_account_type_other_income,7_other_income,account_egypt_coa_general,False
705000_assets_sold,705000,Proceeds from Sale of Assets,account.data_account_type_other_income,7_other_income,account_egypt_coa_general,False
709000_currency_exchange_account,709000,Currency Exchange Income,account.data_account_type_other_income,7_other_income,account_egypt_coa_general,False
base_miscincome,790000,Miscellaneous Income,account.data_account_type_other_income,7_other_income,account_egypt_coa_general,False
999999_undistributed_PL,999999,Undistributed Profits/Losses,account.data_unaffected_earnings,,account_egypt_coa_general,False
